#This file is Chinese collocation file
#Lines start with # are comments and will be ignored
#This file is used to extract the check-point of S:Collocation in C2E task
#The format is: [Chiese word 1]~[Pos 1]:Relation:[Pos 2]~[Chinese word 2] [English parts]

哀愁~a:attr:n~阴影	sadness~of~shadow
称为~v:obj:n~噬菌体	call~lcmp~bacteriophage
称为~v:obj:n~数	call~v:obj:n~number
称为~v:obj:n~数据	call~lcmp~datum
称为~v:obj:n~数列	call~lcmp~sequence
称为~v:obj:n~数目	call~v:obj:n~number
称为~v:obj:n~速度	call~lcmp~velocity
称为~v:obj:n~塑料	call~lcmp~plastic
称为~v:obj:n~特征	call~lcmp~characteristic
称为~v:obj:n~条件	call~lcmp~condition
称为~v:obj:n~跳舞	fit~of~dance
称为~v:obj:n~同	call~~same
称为~v:obj:n~同化作用	call~lcmp~anabolism
称为~v:obj:n~图	call~if~draw
称为~v:obj:n~推进剂	call~~propulsion
称为~v:obj:n~网络	call~~network
称为~v:obj:n~微血管	call~lcmp~capillary
称为~v:obj:n~文法	call~v:obj:n~grammar
称为~v:obj:n~稳定剂	call~lcmp~stabilizer
称为~v:obj:n~问题	call~~problem
称为~v:obj:n~物理学	call~v:obj:n~physics
称为~v:obj:n~物体	call~~body
称为~v:obj:n~稀疏区	call~lcmp~rarefaction
称为~v:obj:n~系统	call~~system
称为~v:obj:n~现象	call~v:obj:n~phenomenon
称为~v:obj:n~想法	call~~whimsical
称为~v:obj:n~效应	call~lcmp~effect
称为~v:obj:n~心肝	call~lcmp~darling
称为~v:obj:n~星族	call~lcmp~star
称为~v:obj:n~研究	call~v:obj:n~study
称为~v:obj:n~欲望	call~v:obj:n~appetite
称为~v:obj:n~原子	call~~atom
称为~v:obj:n~债权国	call~~creditor
称为~v:obj:n~这	call~v:obj:n~this
称为~v:obj:n~真空	call~v:obj:n~vacuum
称为~v:obj:n~震中	call~lcmp~epicenter
称为~v:obj:n~整性	call~~integrality
称为~v:obj:n~正离子	call~~positive
称为~v:obj:n~政务会	call~lcmp~council
称为~v:obj:n~滞流	call~~viscous
称为~v:obj:n~种	call~v:obj:n~species
称为~v:obj:n~轴	call~lcmp~axis
称为~v:obj:n~状态	call~v:obj:n~state
称为~v:obj:n~子集	call~v:obj:n~subset
称为~v:obj:n~最低点	call~~low
称心如意~a:attr:n~工作	heart~after~job
称赞~a:attr:n~未婚妻	praise~~fiance
称赞~v:obj:n~成功	applaud~v:obj:n~success
称赞~v:obj:n~电影	commend~v:obj:n~film
称赞~v:obj:n~金银树	admire~~gold
称赞~v:obj:n~迷人	compliment~~charmer
称赞~v:obj:n~肉汤	praise~v:obj:n~broth
称赞~v:obj:n~书	praise~v:obj:n~book
称赞~v:obj:n~项链	admire~v:obj:n~necklace
称赞~v:obj:n~勇敢	admire~v:obj:n~courage
称赞~v:obj:n~优点	extoll~~good
称赞起~v:obj:n~局长	admire~~chief
称之为~a:attr:n~记忆力	call~of~memory
称之为~a:attr:n~量	call~a:attr:n~quantity
称之为~a:attr:n~形式	call~~form
称之为~v:obj:n~冰	call~lcmp~ice
称之为~v:obj:n~程序	call~lcmp~order
称之为~v:obj:n~代谢	call~lcmp~metabolism
称之为~v:obj:n~弹性	call~~elastic
称之为~v:obj:n~过程	call~v:obj:n~process
称之为~v:obj:n~核桃	call~~walnut
称之为~v:obj:n~混合物	call~smods~mixture
称之为~v:obj:n~解	call~~solution
称之为~v:obj:n~历史	call~lcmp~history
称之为~v:obj:n~名单	call~lcmp~list
称之为~v:obj:n~希望之举	call~v:mods:d~hope
称之为~v:obj:n~邪恶	call~v:mods:d~vicious
称之为~v:obj:n~质量	call~lcmp~mass
称作~a:attr:n~寄存器	call~a:attr:n~register
称作~v:obj:n~订货单	call~lcmp~indent
称作~v:obj:n~姑娘	call~lcmp~girl
称作~v:obj:n~化学反应	call~~chemical
称作~v:obj:n~荒原	call~lcmp~wilderness
称作~v:obj:n~间隔	name~~interval
称作~v:obj:n~角质	call~lcmp~cutin
称作~v:obj:n~结果	call~v:obj:n~result
称作~v:obj:n~姐妹	call~lcmp~cousin
称作~v:obj:n~累加器	call~lcmp~accumulator
称作~v:obj:n~现象	call~v:obj:n~phenomenon
称作~v:obj:n~校样	call~crds~proof
称作~v:obj:n~斜体字	call~lcmp~italic
不同~a:attr:n~植物	different~a:attr:n~plant
不同~a:attr:n~质量	unlike~~mass
不同~a:attr:n~种	distinct~a:attr:n~species
不同~a:attr:n~种类	a/the different/various kind/type;different~a:attr:n~kind;different~a:attr:n~type
不同~a:attr:n~种族	different~a:attr:n~nationality;different~a:attr:n~race;the different/various races
不同~a:attr:n~主人	different~~master
不同~a:attr:n~主题	different~a:attr:n~subject
不同~a:attr:n~组合	a/the different/various combination; various ways of combining;different~a:attr:n~combination
不同~a:attr:n~作风	different~a:attr:n~style
不同~a:attr:n~作用	different~a:attr:n~effect
不同~a:attr:n~做法	differently~v:mods:d~act
不同~v:mods:d~显示出	different~~display
不同~v:mods:d~罩上	different~a:attr:n~shade
不畏~v:obj:n~艰苦	ignore~v:obj:n~suffering
不畏~v:obj:n~职责	fail~in~duty
不无~v:obj:n~道理	have~~truth
不惜~v:obj:n~花费	no~~expense
不祥~a:attr:n~缺口	ominous~a:attr:n~gap
不祥~a:attr:n~物	bad~~thing
不祥~a:attr:n~消息	ominous~~news
不祥~a:attr:n~预感	sinister~a:attr:n~foreboding;the ominous premonition/feeling
不孝~a:attr:n~儿子	unnatural~a:attr:n~son
不屑一顾~a:attr:n~人	nothing~~people
不幸~a:attr:n~感情	unlucky~~feel
不幸~a:attr:n~后果	unfortunate~a:attr:n~consequence
不幸~a:attr:n~回忆	miserable~a:attr:n~remembrance
不幸~a:attr:n~婚姻	an/the unfortunate marriage;unhappy~a:attr:n~marriage
不幸~a:attr:n~家伙	poor~a:attr:n~fellow
不幸~a:attr:n~民族	unfortunate~a:attr:n~race
不幸~a:attr:n~男人	unfortunate~a:attr:n~man
不幸~a:attr:n~女人	unfortunate~a:attr:n~woman
不幸~a:attr:n~人	fortunate~a:attr:n~people;unfortunate~a:attr:n~man;unhappy~a:attr:n~man;unhappy~a:attr:n~people
不幸~a:attr:n~人民	miserable~a:attr:n~people
不幸~a:attr:n~事	bad~a:attr:n~something;unfortunate~a:attr:n~affair
不幸~a:attr:n~事情	unfortunate~a:attr:n~situation
不幸~a:attr:n~消息	sinister~a:attr:n~news;the unfortunate news
不幸~a:attr:n~小节	unfortunate~~little
不幸~a:attr:n~丈夫	unhappy~a:attr:n~husband
不幸~v:mods:d~保持	misery~smods~continue
不幸~v:mods:d~盗走	unfortunately~v:mods:d~burgle
不幸~v:mods:d~割断	short~lcmp~cut
不幸~v:mods:d~姑娘	unfortunate~a:attr:n~girl
不幸~v:mods:d~怀疑起	unfortunate~~doubt
不幸~v:mods:d~事件	unfortunate~a:attr:n~affair
不幸~v:mods:d~受害者	unfortunate~a:attr:n~victim
不幸~v:mods:d~亡故	untimely~a:attr:n~death
不朽~a:attr:n~爱情	immortal~a:attr:n~love
不朽~a:attr:n~部分	immortal~a:attr:n~part
不朽~a:attr:n~乐章	great~a:attr:n~music
不朽~a:attr:n~名作	imperishable~a:attr:n~masterpiece
不朽~a:attr:n~眼	eternal~a:attr:n~eye
不锈钢~v:mods:d~产品	stainless~a:attr:n~product
不许~v:mods:d~承担	forbid~~undertake
不许~v:mods:d~打开	forbid~~open
不许~v:mods:d~喝酒	forbid~~wine
不许~v:mods:d~去	forbid~~go
不许~v:mods:d~外出	forbid~~out
不许~v:mods:d~用	forbid~~use
不许~v:mods:d~组织起来	allow~~organize
不学无术~a:attr:n~丫头	ignorant~a:attr:n~girl
不厌其烦~v:mods:d~创造	bother~~create
不要~v:mods:d~查问	ask~~question
不要~v:mods:d~闯	he~tsub~blunder
不要~v:mods:d~穿	never~time~wear
不要~v:mods:d~等	must~modals~wait
不要~v:mods:d~犯	will~modals~blunder
不要~v:mods:d~费心	no~~take
不要~v:mods:d~激怒	want~~anger
不要~v:mods:d~加点	nothing~v:obj:n~add
不要~v:mods:d~讲	ask~~talk
不要~v:mods:d~节省	will~modals~economical
不要~v:mods:d~来	shall~modals~come
不要~v:mods:d~落下	want~~fall
不要~v:mods:d~埋怨	can~modals~complain
不要~v:mods:d~忙	no~lops~hurry
不要~v:mods:d~漂白	want~~bleach
不要~v:mods:d~去	must~modals~leave;nothing~tsub~do;shall~modals~go;stay~~out
不要~v:mods:d~让	want~v:obj:n~let
不要~v:mods:d~扫上	just~v:mods:d~glance
不要~v:mods:d~生产	want~~produce
不要~v:mods:d~说	nothing~v:obj:n~say;will~~say;will~~speak
不要~v:mods:d~说话	must~modals~talk;shall~modals~talk
不要~v:mods:d~投降	no~lops~surrender
不要~v:mods:d~忘记	never~time~forget
不要~v:mods:d~下结论	necessary~~conclusion
不要~v:mods:d~显得	want~~appear
不要~v:mods:d~以为	need~modals~think;shall~~think
不要~v:mods:d~用	shall~modals~use
不要~v:mods:d~找	want~~find
不要~v:mods:d~自寻	misery~~nature
不要~v:mods:d~坐	bargain~~sit
不要~v:mods:d~做	want~~do
不一~a:attr:n~色调	different~a:attr:n~colour
不宜~v:mods:d~采用	unsuitable~~use
不宜~v:mods:d~独居	bad~~live
不宜~v:mods:d~孤注一掷	unwise~~one
不宜~v:mods:d~旅行	no~~travel
不以为然~a:attr:n~神情	disapprovingly~~look
不以为然~v:mods:d~摇头	disapprovingly~v:mods:d~shake
不义~a:attr:n~报答	only~~repay
不易~v:mods:d~产生	unlikely~~generate
不易~v:mods:d~消化	easily~v:mods:d~digest
不易~v:mods:d~造成	unlikely~~make
不用~v:mods:d~担心	do not have to worry;must~~worry
不用~v:mods:d~付	no~~pay
不用~v:mods:d~慌张	nothing~tsub~flurry
不用~v:mods:d~活下去	no~lops~life
不用~v:mods:d~收入	use~~income
不用~v:mods:d~写	no~~write
不由得~v:mods:d~颤抖起来	can~~tremble
不由得~v:mods:d~停止	involuntarily~v:mods:d~pause
不由得~v:mods:d~心惊胆战	get~~shock
不由自主~v:mods:d~伸出来	involuntarily~v:mods:d~out
不愿~a:attr:n~地	refuse~~land
不愿~a:attr:n~生活	like~a:attr:n~life
不愿~v:obj:n~地	refuse~~land
不愿~v:obj:n~生活	like~v:obj:n~life
不悦~a:attr:n~表情	displeasure~v:obj:n~express
不再~v:mods:d~残忍	can~modals~cruel
不再~v:mods:d~唱	no~~sing
不再~v:mods:d~抽烟	will~modals~smoke
不再~v:mods:d~打个滚	many~~sleep
不再~v:mods:d~发生	again~time~happen;no longer happen;no longer occur;no longer take place;on longer arise
不再~v:mods:d~怀疑	long~v:mods:d~doubt
不再~v:mods:d~饥	never~~hunger
不再~v:mods:d~坚持	long~v:mods:d~maintain
不再~v:mods:d~讲话	never~time~speak
不再~v:mods:d~来	many~v:mods:d~come
不再~v:mods:d~埋怨	will~modals~blame
不再~v:mods:d~冒险	bad~~risk
不再~v:mods:d~企图	no~lops~attempt
不再~v:mods:d~受到	no~~get
不再~v:mods:d~睡	never~time~sleep
不再~v:mods:d~说	many~lops~word;many~~say
不再~v:mods:d~说话	again~time~speak;never~time~speak
不再~v:mods:d~讨价还价	no~~bargain
不再~v:mods:d~讨论	nothing~v:obj:n~discuss
不再~v:mods:d~希望	anymore~~want
不再~v:mods:d~要	no~~want
不再~v:mods:d~有	mind~tsub~destitute
不再~v:mods:d~涨价	no~~up
不再~v:mods:d~争斗	never~~fight
不再~v:mods:d~做	again~time~do;never~time~do
不在乎~v:obj:n~花钱	mind~~money
不怎么~v:mods:d~愿意	very~intnsifs~ready
不曾~v:mods:d~打电话来	ever~time~phone
不曾~v:mods:d~带来	no~~bring
不曾~v:mods:d~得到	no~~receive
不曾~v:mods:d~见	never~time~see
不曾~v:mods:d~禁止	uncommon~~check
不曾~v:mods:d~看见	never~time~see
不曾~v:mods:d~设想	can~~imagine
不曾~v:mods:d~听到	no~~reach
不曾~v:mods:d~听见	nothing~v:obj:n~hear
不曾~v:mods:d~有	no~~have
不知~a:attr:n~感觉	wonder~~illusion
不知~a:attr:n~孩子	wonder~~boy
不知~a:attr:n~家伙	low~a:attr:n~fellow
不知~a:attr:n~曲调	unknown~a:attr:n~music
不知~a:attr:n~人士	unknown~a:attr:n~people
不知~a:attr:n~小鸟	unknown~a:attr:n~bird
不知~a:attr:n~作品	unsure~~work
不知~v:obj:n~猜出	wonder~equiv~guess
不知~v:obj:n~耻	no~~shame
不知~v:obj:n~处理	know~v:obj:n~treat
不知~v:obj:n~嘟囔	fix~~murmur
不知~v:obj:n~法律	know~v:obj:n~law
不知~v:obj:n~放	know~v:obj:n~park
不知~v:obj:n~敢于	wonder~~dare
不知~v:obj:n~关	somehow~~shut
不知~v:obj:n~何去何从	know~~where
不知~v:obj:n~回答	know~v:obj:n~answer;unable~~answer
不知~v:obj:n~开头	know~v:obj:n~begin
不知~v:obj:n~可贵	know~v:obj:n~value
不知~v:obj:n~内情	know nothing about the inside;know~v:obj:n~fact
不知~v:obj:n~上楼	wonder~~upstairs
不知~v:obj:n~事	ignorance~v:obj:n~affair
不知~v:obj:n~说	know~v:obj:n~say
不知~v:obj:n~说好	know~v:obj:n~say
不知~v:obj:n~想	know~v:obj:n~think
不知~v:obj:n~有	know~v:obj:n~have
不知~v:obj:n~在	know~v:obj:n~be
不知~v:obj:n~怎么办	know~v:obj:n~do;know~~how
不知~v:obj:n~找不到	never~~get
不知不觉~v:mods:d~扮演起	unconsciously~v:mods:d~act
不知不觉~v:mods:d~发出	unconscious~~issue
不知不觉~v:mods:d~怀念起	unconsciously~v:mods:d~long
不知不觉~v:mods:d~偷来	unconsciously~v:mods:d~steal
不知所措~a:attr:n~傻瓜	irresponsible~a:attr:n~fool
不知为~v:obj:n~知	know~when~know
不止~v:mods:d~一次	many~~once
不至于~v:mods:d~发生	will~modals~happen
不至于~v:mods:d~否认	can~modals~deny
不至于~v:mods:d~浑浊	free~~turbidity
不至于~v:mods:d~溺死	will~modals~drown
不至于~v:mods:d~说	can~modals~say
不住~v:mods:d~打转	small~~roll
不准~v:obj:n~回来	forbid~v:obj:n~return
不准~v:obj:n~留下	forbid~props~remain
不足~a:attr:n~处	shortcoming~~treatment
不足~a:attr:n~地区	deficit~of~region
不足~a:attr:n~数	insufficient~a:attr:n~copy
不足~a:attr:n~土壤	lack~a:attr:n~soil
不足~v:obj:n~多数	lack~~majority
不足~v:obj:n~症状	inadequacy~~condition
不足~v:obj:n~住房	inadequacy~of~housing
布景~v:mods:d~设计者	set~a:attr:n~designer
布满~v:obj:n~地下室	fill~v:obj:n~basement
布满~v:obj:n~房子	fill~v:obj:n~room
布满~v:obj:n~恒星	fill~means~star
布置~a:attr:n~部下	array~~troop
布置~v:obj:n~餐桌	arrange~v:obj:n~table;set~v:obj:n~table
布置~v:obj:n~地雷	plant~v:obj:n~mine
布置~v:obj:n~房子	furnish~v:obj:n~house
布置~v:obj:n~检查	install~~check
布置~v:obj:n~军队	dispose~v:obj:n~troop
布置~v:obj:n~巡逻	establish~v:obj:n~patrol
布置~v:obj:n~宴会	arrange~v:obj:n~party
布置成~v:obj:n~公园	lay~as~park
布置好~v:obj:n~桌子	arrange~v:obj:n~table
步~a:attr:n~长度	pace~~length
步~v:obj:n~枪子	rifle~~cartridge
步测~v:obj:n~房间	pace~v:obj:n~room
步枪~v:mods:d~子弹	rifle~v:mods:d~bullet
步入~v:obj:n~会议室	step~into~room
步入~v:obj:n~门厅	enter~v:obj:n~hall
步入~v:obj:n~舞厅	step~into~hall
步行~a:attr:n~人	walk~~passenger
步行~v:obj:n~数里	walk~for~mile
步行到~v:obj:n~教堂	walk~to~church
步子~v:mods:d~旅馆	step~~hostelry
步走下~v:obj:n~跳板	run~v:obj:n~gangplank
部分~v:mods:d~贲门	portion~classifier~cardia
部分~v:mods:d~表现	partly~v:mods:d~reveal
部分~v:mods:d~补偿	partially~v:mods:d~replace
部分~v:mods:d~财宝	part~classifier~wealth
部分~v:mods:d~场地	part~classifier~ground
部分~v:mods:d~错	partly~intnsifs~wrong
部分~v:mods:d~代偿	partly~~compensate
部分~v:mods:d~抵消	partial~tsub~offset
部分~v:mods:d~地	partially~v:mods:d~condition
部分~v:mods:d~地区	part~classifier~territory
部分~v:mods:d~发源	identify~~derive
部分~v:mods:d~火	partial~a:attr:n~misfire
部分~v:mods:d~模	part~~modulus
部分~v:mods:d~设计	section~v:mods:d~design
部分~v:mods:d~省界	part~classifier~province
部分~v:mods:d~输出	part~classifier~output
部分~v:mods:d~提纯	partially~v:mods:d~purify
部分~v:mods:d~物体	partially~~object
部分~v:mods:d~转变到	partially~v:mods:d~transfer
部分~v:mods:d~状态	part~classifier~state
部份~v:mods:d~原因	part~classifier~reason
部落~v:mods:d~群体	tribal~a:attr:n~group
部门~v:mods:d~负责人	department~v:mods:d~head
部门~v:mods:d~检查	department~tsub~review
部门~v:mods:d~检查员	department~~inspector
部门~v:mods:d~经理	division~v:mods:d~manager
部门~v:mods:d~人	office~v:obj:n~understaff
部门~v:mods:d~时间	department~in~hour
部署~v:obj:n~坦克	position~~tank
部下~v:mods:d~服装	troop~~dress
擦~v:obj:n~鼻子	wipe~v:obj:n~nose
擦~v:obj:n~地板	scour~v:obj:n~floor
擦~v:obj:n~额头	rub~~forehead
擦~v:obj:n~胳膊	wipe~v:obj:n~arm
擦~v:obj:n~脚	scrape~v:obj:n~foot;wipe~v:obj:n~foot
擦~v:obj:n~门	graze~v:obj:n~door
擦~v:obj:n~盘子	clean~~plate
擦~v:obj:n~墙	scrape~along~wall
擦~v:obj:n~墙壁	wipe~v:obj:n~wall
擦~v:obj:n~些	rub~~some
擦~v:obj:n~鞋	shine~v:obj:n~shoe
擦~v:obj:n~靴子	polish~v:obj:n~boot
擦~v:obj:n~眼睛	wipe~v:obj:n~eye
擦~v:obj:n~油膏	rub~v:obj:n~ointment
擦~v:obj:n~桌面	wipe~~table
擦擦~v:obj:n~前额	wipe~v:obj:n~forehead
擦擦~v:obj:n~手	wipe~v:obj:n~hand
擦擦~v:obj:n~眼睛	rub~v:obj:n~eye
擦到~v:obj:n~油漆	rub~~paint
擦掉~v:obj:n~话	rub~ptcl~out
擦掉~v:obj:n~皮	scrape~v:obj:n~skin
擦掉~v:obj:n~签名	obliterate~v:obj:n~signature
擦掉~v:obj:n~熔体	wipe~~melt
擦掉~v:obj:n~线条	sponge~v:obj:n~line
擦掉~v:obj:n~锈	scrape~v:obj:n~rust
擦掉~v:obj:n~字	scrub~~word
擦干~v:obj:n~表面	rub~~surface
擦干~v:obj:n~窗子	wipe~v:obj:n~window
擦干~v:obj:n~脸	dry~v:obj:n~face
擦干~v:obj:n~盘子	wipe~v:obj:n~plate
擦干~v:obj:n~手	dry~v:obj:n~hand
擦干~v:obj:n~眼泪	dry~v:obj:n~eye;wipe~v:obj:n~tear
擦干净~v:obj:n~地板	wipe~v:obj:n~floor
擦干净~v:obj:n~门	rub~v:obj:n~door
擦干净~v:obj:n~鞋	wipe~v:obj:n~shoe
擦光~v:obj:n~表面	smooth~v:obj:n~surface
擦光~v:obj:n~家具	polish~v:obj:n~furniture
擦净~v:obj:n~泥	scrape~v:obj:n~mud
擦净~v:obj:n~煮锅	scrape~v:obj:n~saucepan
擦亮~v:obj:n~把手	polish~v:obj:n~handle
擦亮~v:obj:n~火柴	light~~match
擦亮~v:obj:n~皮鞋	shine~v:obj:n~shoe
擦亮~v:obj:n~汽车	polish~v:obj:n~car
擦亮~v:obj:n~鞋	polish~v:obj:n~shoe
擦亮~v:obj:n~银器	scour~v:obj:n~silver;shine~v:obj:n~silver
擦了擦~v:obj:n~鼻子	wipe~v:obj:n~nose
擦了擦~v:obj:n~脸	sponge~v:obj:n~face
擦了擦~v:obj:n~两手	wipe~v:obj:n~hand
擦了几擦~v:obj:n~手	wipe~v:obj:n~hand
擦破~a:attr:n~脸	scratch~~face
擦去~v:obj:n~痕迹	erase~v:obj:n~mark
擦去~v:obj:n~灰尘	wipe~v:obj:n~dust
擦去~v:obj:n~泥土	rub~v:obj:n~dirt
擦去~v:obj:n~眼泪	wipe~v:obj:n~tear
擦伤~a:attr:n~臀部	graze~~hip
擦伤~v:obj:n~皮肤	abrade~v:obj:n~skin
擦伤~v:obj:n~膝盖	scrape~v:obj:n~knee
擦试~v:obj:n~眼睛	wipe~v:obj:n~eye
擦拭~v:obj:n~工具	polish~v:obj:n~tool
擦洗~v:obj:n~罐子	wipe~v:obj:n~jug
擦洗~v:obj:n~伤口	sponge~v:obj:n~wound
擦洗干净~v:obj:n~浴池	scrub~v:obj:n~bath
擦着~a:attr:n~脸	brush~~face
擦着~v:obj:n~窗户	scrape~against~window
擦着~v:obj:n~脸皮	scrape~~face
擦着~v:obj:n~腿	rub~v:obj:n~leg
猜~v:obj:n~苦恼	guess~v:obj:n~trouble
猜~v:obj:n~要	suppose~v:obj:n~want
猜~v:obj:n~郁闷	guess~v:obj:n~depression
猜~v:obj:n~允许	guess~v:obj:n~allow
猜~v:obj:n~在家	suppose~~home
猜不出~v:obj:n~邀请	guess~~invitation
猜不着~v:obj:n~意思	guess~v:obj:n~mean
猜测~a:attr:n~理由	suppose~tsub~reasonable
猜测~v:obj:n~表情	guess~v:obj:n~expression
猜测~v:obj:n~结构	guess~v:obj:n~structure
猜测~v:obj:n~排好	survey~~set
猜测出~v:obj:n~花瓶	guess~~vase
猜出~v:obj:n~处	guess~v:obj:n~difficulty
猜出~v:obj:n~价格	guess~v:obj:n~price
猜出~v:obj:n~体重	guess~v:obj:n~weight
猜出~v:obj:n~意图	guess~v:obj:n~intention
猜到~v:obj:n~地方	guess~~place
猜到~v:obj:n~心思	guess~~heart
猜到~v:obj:n~意思	guess~v:obj:n~meaning
猜到~v:obj:n~真相	guess~v:obj:n~truth
猜对~a:attr:n~心意	right~~affection
猜对~v:obj:n~小姐	right~~young
猜透~v:obj:n~关系	guess~v:obj:n~relationship
猜想~a:attr:n~需	assume~~requirement
猜想~v:obj:n~长途跋涉	surmise~~trek
猜想~v:obj:n~出去	suppose~~out
猜想~v:obj:n~掉下来	suppose~~down
猜想~v:obj:n~发烧	guess~~fever
猜想~v:obj:n~希望	guess~v:obj:n~want
猜疑~a:attr:n~人	suspect~~someone
才~v:mods:d~发表	just~v:mods:d~out
才~v:mods:d~明白	just~v:mods:d~dawn
才~v:mods:d~要求	capability~~require
才~v:mods:d~作	just~v:mods:d~make
才~v:mods:d~做	must~modals~do
才思敏捷~a:attr:n~女主人	wit~with~hostess
材料~v:mods:d~成本	material~matr~cost
材料~v:mods:d~成分	material~a:attr:n~composition
材料~v:mods:d~多孔性	material~~porosity
材料~v:mods:d~规格	material~a:attr:n~specification
材料~v:mods:d~问题	material~~problem
材料~v:mods:d~需要	material~tsub~require
材料~v:mods:d~之一	material~~one
材料~v:mods:d~直径	material~matr~diameter
材料~v:mods:d~制品	material~source~make
财产~v:mods:d~观念	property~of~idea
财产~v:mods:d~企业	fortune~~business
财产~v:mods:d~权利	property~partof~right
财产~v:mods:d~所有制	property~v:mods:d~ownership
财力~v:mods:d~人力	money~~man
财务~v:mods:d~报告	financial~a:attr:n~report
财务~v:mods:d~管理	financial~a:attr:n~control
财务~v:mods:d~困难	financial~a:attr:n~problem
财务~v:mods:d~秘密	financial~a:attr:n~secret
财务~v:mods:d~人员	financial~a:attr:n~officer
财务~v:mods:d~专家	finance~v:mods:d~expert
财政~v:mods:d~补贴	financial~~grant
财政~v:mods:d~措施	financial~a:attr:n~measure
财政~v:mods:d~顾问	financial~a:attr:n~adviser
财政~v:mods:d~机构	financial~a:attr:n~institution
财政~v:mods:d~检查	financial~~review
财政~v:mods:d~困难	financial~a:attr:n~difficulty
财政~v:mods:d~问题	financial~a:attr:n~problem
财政~v:mods:d~援助	financial~a:attr:n~assistance
财政~v:mods:d~战略	fiscal~~strategy
财政~v:mods:d~政策	financial~a:attr:n~policy;fiscal~a:attr:n~policy
财政~v:mods:d~状况	financial~a:attr:n~condition
财主~v:mods:d~派头	wealth~of~air
裁缝~v:mods:d~学徒	tailor~to~apprentice
裁减~v:obj:n~人员	cut~~people
裁剪成~v:obj:n~页	trim~~page
裁决~a:attr:n~责任	judge~~duty
裁决~v:obj:n~解决	award~~determine
裁决~v:obj:n~迫使	judgment~~force
裁决~v:obj:n~争端	decide~v:obj:n~dispute
裁决~v:obj:n~争议	decide~v:obj:n~controversy
裁军~a:attr:n~资源	disarmament~~resource
采~a:attr:n~成就	acclaim~~achievement
采~v:obj:n~成就	acclaim~~achievement
采~v:obj:n~花	gather~v:obj:n~flower
采~v:obj:n~蜜	gather~v:obj:n~honey
采访~v:obj:n~妻子	interview~v:obj:n~wife
采集~a:attr:n~花朵	gather~~bouquet
采集~a:attr:n~石头	collection~~stone
采集~v:obj:n~产品	collect~v:obj:n~produce
采集~v:obj:n~雏菊	gather~v:obj:n~marguerite
采集~v:obj:n~石头	collection~v:obj:n~stone
采集~v:obj:n~系统	collection~~system
采集~v:obj:n~鲜花	gather~v:obj:n~flower
采集~v:obj:n~植物	collect~v:obj:n~plant
采集~v:obj:n~紫色	gather~~purple
采集到~v:obj:n~化石	pick~v:obj:n~fossil
采掘~v:obj:n~金矿	mine~v:obj:n~gold
采来~v:obj:n~花	gather~v:obj:n~flower
采来~v:obj:n~紫罗兰	pick~v:obj:n~violet
采纳~a:attr:n~方法	adopt~~method
采纳~v:obj:n~方法	adopt~v:obj:n~mode
采纳~v:obj:n~建议	accept advice;accept proposal;accept suggestion;follow advice;follow proposal;follow suggestion;adopt~v:obj:n~suggestion
采纳~v:obj:n~社会	adopt~~society
采纳~v:obj:n~制度	adopt~like~system
采取~a:attr:n~步骤	take~props~step
采取~a:attr:n~方法	remove~~way
采取~a:attr:n~方式	take~a:attr:n~form
采取~a:attr:n~极端	take~~extreme
采取~a:attr:n~立场	take~props~position
采取~a:attr:n~时间	take~~time
采取~a:attr:n~习惯	take~of~habit
采取~a:attr:n~行动	take~~action
采取~a:attr:n~学说	adopt~~theory
采取~a:attr:n~姿态	adopt~~manner
采取~v:obj:n~暴力	get~~violence
采取~v:obj:n~步骤	get~~step;take~v:obj:n~step;take steps/actions/measures/procedure
采取~v:obj:n~策略	adopt~v:obj:n~strategy
采取~v:obj:n~措施	adopt measures,take measures;take actions;take measures;adoption~~move;take~v:obj:n~measure
采取~v:obj:n~方法	adopt a method/a way of;use a method/a way of;adopt~v:obj:n~method;remove~~way
采取~v:obj:n~方式	adopt a method/means/way/methodology/manner/mode/fashion/style/pattern;take the measure/method/means/way/methodology/manner/mode/fashion/style/pattern;take~v:obj:n~form
采取~v:obj:n~方针	choose~~action
采取~v:obj:n~构象	adopt~v:obj:n~conformation
采取~v:obj:n~极端	take~~extreme
采取~v:obj:n~计划	adopt~v:obj:n~plan
采取~v:obj:n~进口税	use~~import
采取~v:obj:n~口气	take~v:obj:n~tone
采取~v:obj:n~立场	hold the stand/position/standpoint;take the stand/position/standpoint;take~~position
采取~v:obj:n~气势	adopt~v:obj:n~attitude
采取~v:obj:n~态度	adopt~v:obj:n~attitude;adopt~v:obj:n~manner;assume~v:obj:n~form;take~v:obj:n~attitude;hold the opinion/attitude
采取~v:obj:n~特性	collection~~characteristic
采取~v:obj:n~小组方式，	adopt~~team
采取~v:obj:n~行动	access~~act;get~v:obj:n~act;take~tsub~event;take~v:obj:n~action;take~v:obj:n~step;adopt measures;take actions/steps
采取~v:obj:n~形式	take~v:obj:n~form
采取~v:obj:n~演说	adopt~~platform
采取~v:obj:n~一步	take~tsub~step
采取~v:obj:n~政治	take~~political
采取~v:obj:n~姿态	take~v:obj:n~stance
采取~v:obj:n~罪人	win~~sinner
采用~a:attr:n~方程	use~a:attr:n~equation
采用~a:attr:n~方法	adopt~a:attr:n~technique;employ~a:attr:n~method
采用~a:attr:n~划痕	use~~scratch
